"st_key","st_dive_id","st_launch_datetime","st_surveystart_datetime","st_surveyend_datetime","st_recovery_datetime","st_launch_lat_dd","st_launch_lon_dd","st_surveystart_lat_dd","st_surveystart_lon_dd","st_surveyend_lat_dd","st_surveyend_lon_dd","st_recovery_lat_dd","st_origin_lat_dd","st_origin_lon_dd","st_maxsurvey_depth","cruise_leg_id","cruise_vessel","p_display_name","sentry_ops_id","sentry_ops_alternate_id"
"1","ST-29","2009-09-14 23:56:26","2009-09-15 00:04:32","2009-09-15 06:02:41","2009-09-15 06:33:01","34.41","-120.66","34.41","-120.66","34.42","-120.67","34.42","34.41","-120.66","247.4","AT15-53","R/V Atlantis","Valentine, David","AT15-53_Valentine09",
"2","ST-30","2009-09-18 04:29:53","2009-09-18 04:35:29","2009-09-18 13:59:34","2009-09-18 14:17:22","34.22","-119.79","34.22","-119.79","34.2","-119.77","34.2","34.22","-119.79","250.7","AT15-53","R/V Atlantis","Valentine, David","AT15-53_Valentine09",
"3","ST-31","2009-09-19 01:54:42","2009-09-19 01:58:39","2009-09-19 13:59:56","2009-09-19 14:13:36","34.18","-119.7","34.18","-119.7","34.17","-119.68","34.17","34.18","-119.7","207.1","AT15-53","R/V Atlantis","Valentine, David","AT15-53_Valentine09",
"4","ST-32","2009-09-21 02:26:04","2009-09-21 02:30:25","2009-09-21 13:59:59","2009-09-21 14:16:21","34.33","-120","34.33","-120","34.32","-119.97","34.32","34.33","-120","257.7","AT15-53","R/V Atlantis","Valentine, David","AT15-53_Valentine09",
"5","ST-33","2009-09-22 01:31:50","2009-09-22 01:37:01","2009-09-22 12:56:05","2009-09-22 13:09:04","34.22","-119.79","34.22","-119.79","34.2","-119.77","34.2","34.22","-119.79","207.2","AT15-53","R/V Atlantis","Valentine, David","AT15-53_Valentine09",
"6","ST-34","2009-09-24 03:16:28","2009-09-24 03:43:13","2009-09-24 12:50:47","2009-09-24 13:21:39","33.62","-118.83","33.62","-118.83","33.62","-118.82","33.62","33.62","-118.83","896.9","AT15-53","R/V Atlantis","Valentine, David","AT15-53_Valentine09",
"7","ST-35","2009-09-25 02:11:32","2009-09-25 02:22:19","2009-09-25 12:26:42","2009-09-25 12:52:19","33.9","-118.7","33.89","-118.7","33.9","-118.71","33.9","33.9","-118.7","389.8","AT15-53","R/V Atlantis","Valentine, David","AT15-53_Valentine09",
"8","ST-36","2009-09-27 01:49:43","2009-09-27 02:14:49","2009-09-27 14:13:49","2009-09-27 14:40:03","33.76","-118.68","33.76","-118.68","33.77","-118.68","33.77","33.76","-118.68","822.3","AT15-53","R/V Atlantis","Valentine, David","AT15-53_Valentine09",
"9","ST-37","2009-09-28 05:55:43","2009-09-28 06:20:36","2009-09-28 13:04:08","2009-09-28 13:37:02","33.76","-118.68","33.76","-118.68","33.76","-118.68","33.76","33.76","-118.68","820.9","AT15-53","R/V Atlantis","Valentine, David","AT15-53_Valentine09",
"10","ST-38","2010-03-18 02:47:48","2010-03-18 03:36:07","2010-03-18 03:39:04","2010-03-18 04:26:20","2.53","-95.1","2.53","-95.1","2.53","-95.1","2.53","2.53","-95.1","1500","AT15-63","R/V Atlantis","Sinton, John","AT15-63_Sinton10",
"11","ST-39","2010-03-19 03:06:31","2010-03-19 04:34:59","2010-03-19 10:54:29","2010-03-19 12:08:26","2.53","-95.1","2.53","-95.09","2.53","-95.09","2.53","2.53","-95.1","2734.5","AT15-63","R/V Atlantis","Sinton, John","AT15-63_Sinton10",
"12","ST-40","2010-03-20 01:37:15","2010-03-20 02:49:09","2010-03-20 10:56:36","2010-03-20 12:16:13","2.53","-95.1","2.53","-95.1","2.53","-95.08","2.53","2.53","-95.1","2744.3","AT15-63","R/V Atlantis","Sinton, John","AT15-63_Sinton10",
"13","ST-41","2010-03-21 00:32:16","2010-03-21 01:35:35","2010-03-21 10:54:23","2010-03-21 12:24:15","2.53","-95.1","2.53","-95.1","2.51","-95.1","2.51","2.53","-95.1","2737.3","AT15-63","R/V Atlantis","Sinton, John","AT15-63_Sinton10",
"14","ST-42","2010-03-22 02:00:01","2010-03-22 03:04:26","2010-03-22 10:52:36","2010-03-22 12:15:56","2.53","-95.1","2.53","-95.09","2.53","-95.11","2.52","2.53","-95.1","2833.9","AT15-63","R/V Atlantis","Sinton, John","AT15-63_Sinton10",
"15","ST-43","2010-03-23 01:10:54","2010-03-23 02:15:02","2010-03-23 10:49:03","2010-03-23 12:08:30","2.53","-95.1","2.53","-95.1","2.52","-95.09","2.52","2.53","-95.1","2804.5","AT15-63","R/V Atlantis","Sinton, John","AT15-63_Sinton10",
"16","ST-44","2010-03-24 01:52:06","2010-03-24 03:00:07","2010-03-24 09:54:43","2010-03-24 12:05:58","2.53","-95.1","2.53","-95.1","2.53","-95.11","2.53","2.53","-95.1","2783","AT15-63","R/V Atlantis","Sinton, John","AT15-63_Sinton10",
"17","ST-45","2010-03-26 05:46:25","2010-03-26 07:00:14","2010-03-26 09:01:55","2010-03-26 12:07:31","2.53","-95.1","2.53","-95.09","2.53","-95.1","2.53","2.53","-95.1","2777.3","AT15-63","R/V Atlantis","Sinton, John","AT15-63_Sinton10",
